Ticker,Market Cap,EY,ROC,Sector,EY_rank,ROC_rank,Score
PBYI,314440512.0,0.1178343949044585,0.099029996,Healthcare,271.0,352.0,623.0
HRMY,2059645696.0,0.0828325058792788,0.13202,Healthcare,436.0,190.0,626.0
OSPN,494770880.0,0.113584036838066,0.098409995,Technology,279.0,358.0,637.0
SM,2081449728.0,0.3542249580302182,0.08067001,Energy,98.0,543.0,641.0
ASR,9605326848.0,0.0779880447238826,0.14259,Industrials,483.0,159.0,642.0
LULU,25129041920.0,0.068838499808649,0.20285,Consumer Cyclical,582.0,60.0,642.0
BKE,2835100160.0,0.0735876214465635,0.15637,Consumer Cyclical,521.0,125.0,646.0
VIST,5207607808.0,0.1412476528270394,0.090550005,Energy,221.0,431.0,652.0
CHCI,115604480.0,0.1116666666666666,0.09668,Real Estate,287.0,371.0,658.0
YALA,1088250240.0,0.1124828532235939,0.0962,Technology,282.0,378.0,660.0
REFI,260912192.0,0.1359613837489943,0.090220004,Real Estate,228.0,432.0,660.0
REPX,612333568.0,0.1516623085543518,0.086969994,Energy,200.0,461.0,661.0
DECK,15088003072.0,0.0661035261762106,0.21533,Consumer Cyclical,614.0,50.0,664.0
VEON,3685400064.0,0.1742307692307692,0.085080005,Communication Services,180.0,485.0,665.0
IHS,2697590528.0,0.181578947368421,0.083730005,Real Estate,170.0,495.0,665.0
HALO,8428176896.0,0.0654515327257663,0.21242,Healthcare,625.0,51.0,676.0
GHC,5040736256.0,0.1439080100396897,0.086610004,Consumer Defensive,214.0,465.0,679.0
FSM,3188726528.0,0.0801526717557251,0.12191,Basic Materials,458.0,225.0,683.0
ZGM,30702982.0,0.0612244897959183,0.65073997,Industrials,678.0,6.0,684.0
YSXT,32109376.0,0.1304347826086956,0.08698,Industrials,233.0,460.0,693.0
RAIL,219391424.0,0.2178046672428694,0.0797,Industrials,147.0,554.0,701.0
TGLS,2431390720.0,0.0721533258173618,0.14017001,Basic Materials,536.0,167.0,703.0
GMHS,55176440.0,0.0792079207920792,0.11853,Communication Services,467.0,238.0,705.0
CF,13422699520.0,0.1023641539794529,0.09551,Basic Materials,321.0,386.0,707.0
WLKP,716548736.0,0.0686419753086419,0.15675999,Basic Materials,584.0,124.0,708.0
LNG,42566881280.0,0.0926385442514474,0.10017,Energy,367.0,342.0,709.0
INSE,256074528.0,0.1995926680244399,0.080340005,Consumer Cyclical,163.0,547.0,710.0
NATH,377502656.0,0.0599352051835853,0.34640998,Consumer Cyclical,702.0,17.0,719.0
RCMT,148951280.0,0.0832521908471275,0.10896,Industrials,432.0,290.0,722.0
PBR,79265710080.0,0.1819713563605729,0.07919,Energy,169.0,560.0,729.0
GPRK,386963264.0,0.0905349794238683,0.098529994,Energy,375.0,355.0,730.0
TMHC,6376559104.0,0.1278693575720228,0.0849,Consumer Cyclical,244.0,487.0,731.0
HMY,13784555520.0,0.0623318385650224,0.19153,Basic Materials,664.0,69.0,733.0
PDD,159454691328.0,0.0832140149919986,0.107,Consumer Cyclical,433.0,301.0,734.0
FIZZ,3083305216.0,0.0603945371775417,0.22667,Consumer Defensive,692.0,43.0,735.0
NOG,2191186944.0,0.0838323353293413,0.10512,Energy,424.0,314.0,738.0
CPA,5350008320.0,0.1223169432181458,0.085530005,Industrials,258.0,480.0,738.0
YELP,1853352704.0,0.0733224222585924,0.12425,Communication Services,526.0,216.0,742.0
JILL,241359376.0,0.1380620645978467,0.08241,Consumer Cyclical,227.0,516.0,743.0
NVO,265009119232.0,0.0603073838957567,0.21113001,Healthcare,693.0,52.0,745.0
MRK,270410022912.0,0.0692371096254235,0.13755,Healthcare,574.0,175.0,749.0
IMXI,460640352.0,0.0825274016763378,0.10553,Technology,441.0,310.5,751.5
ALSN,8860027904.0,0.0773685209796848,0.11346,Consumer Cyclical,488.0,267.0,755.0
PDEX,132315400.0,0.0767275248440027,0.11366,Healthcare,492.0,266.0,758.0
CBT,3812571904.0,0.0824093086926762,0.10446,Basic Materials,443.0,316.0,759.0
DBX,6995850752.0,0.0643980973289425,0.15551,Technology,639.0,128.0,767.0
PRKS,2062872832.0,0.0884553714591127,0.09591,Consumer Cyclical,392.0,382.0,774.0
NVR,21202180096.0,0.0599374320808772,0.18898001,Consumer Cyclical,701.0,73.0,774.0
MGY,4293327616.0,0.081081081081081,0.10227,Energy,454.0,326.0,780.0
EOG,58989129728.0,0.0955045523520485,0.09086,Energy,353.0,427.0,780.0
GMAB,20997175296.0,0.0671575846833578,0.13377,Healthcare,598.0,185.0,783.0
ENR,1450954240.0,0.1590800191662673,0.07699,Industrials,191.0,594.5,785.5
TSQ,89051928.0,0.2169117647058823,0.07379,Communication Services,148.0,641.0,789.0
BBW,905179776.0,0.0630001454968718,0.14819,Consumer Cyclical,654.0,146.0,800.0
MTCH,7622909440.0,0.0667290302463361,0.13065,Communication Services,603.0,198.0,801.0
CHH,5015489024.0,0.0758156492474525,0.106529996,Consumer Cyclical,500.0,304.0,804.0
DAC,1834082816.0,0.25,0.07074,Industrials,128.5,677.5,806.0
JBSS,840133312.0,0.0784697012007819,0.102,Consumer Defensive,478.0,330.0,808.0
EBF,476713408.0,0.0891035963499731,0.09167,Industrials,387.0,423.0,810.0
DVN,23386032128.0,0.1187010078387458,0.08022001,Energy,267.0,549.0,816.0
ITRN,891829248.0,0.0646845211075805,0.13393,Technology,634.0,183.0,817.0
MHO,3689684736.0,0.1230591463854986,0.07897,Consumer Cyclical,255.0,565.0,820.0
CDLR,1792701184.0,0.1758296186230807,0.07301,Industrials,175.0,648.0,823.0
IBEX,514176768.0,0.0707850707850707,0.112720005,Technology,553.0,271.0,824.0
CQP,26487359488.0,0.0712160654518408,0.111379996,Energy,548.0,279.0,827.0
MTDR,5310931968.0,0.1489615660062067,0.075430006,Energy,207.0,620.0,827.0
DXST,46741664.0,0.0632911392405063,0.13313,Industrials,652.0,187.0,839.0
AFYA,1345819264.0,0.0981554677206851,0.083450004,Consumer Defensive,340.0,499.0,839.0
UHS,12842924032.0,0.1020100990483589,0.08218,Healthcare,323.0,521.0,844.0
ODC,768777664.0,0.0701178288584122,0.10943,Basic Materials,563.0,288.0,851.0
SMID,189745760.0,0.0635689851767388,0.12845999,Basic Materials,649.0,204.0,853.0
NEU,6679850496.0,0.0656879613698174,0.12036,Basic Materials,622.0,232.0,854.0
LOAN,51245160.0,0.1038903625110521,0.08103,Real Estate,317.0,537.0,854.0
OMAB,5209908224.0,0.0553324005957485,0.19091,Industrials,785.0,71.0,856.0
CRCT,1051708608.0,0.0752032520325203,0.0991,Technology,505.0,351.0,856.0
SGU,403302784.0,0.1485714285714285,0.07296,Energy,208.0,651.5,859.5
ABEV,40355041280.0,0.0739299610894941,0.099750005,Consumer Defensive,514.0,347.0,861.0
INGR,7254365696.0,0.0887375033177032,0.08603,Consumer Defensive,390.0,474.0,864.0
PRDO,2052526848.0,0.0728580362726704,0.099980004,Consumer Defensive,530.0,343.0,873.0
RAVE,45477016.0,0.062111801242236,0.128,Consumer Cyclical,667.0,209.0,876.0
KTB,3307264000.0,0.0656070341562394,0.11441,Consumer Cyclical,623.0,258.0,881.0
RYN,3759476224.0,0.1121172919361793,0.07693,Real Estate,286.0,596.5,882.5
CRTO,1056797504.0,0.1404174573055028,0.07225,Communication Services,223.0,661.0,884.0
EVER,961748608.0,0.0548780487804878,0.17167999,Communication Services,791.0,93.0,884.0
DHT,2169184000.0,0.0938682816048448,0.08208,Energy,361.0,524.0,885.0
TGTX,4424626176.0,0.0999278499278499,0.07975,Healthcare,334.0,552.0,886.0
RMNI,367296448.0,0.1177944862155388,0.075619996,Technology,272.0,616.0,888.0
FTDR,4367321600.0,0.0578484999171225,0.14337,Consumer Cyclical,736.0,157.0,893.0
EXEL,11866447872.0,0.0540172492056286,0.17727,Healthcare,808.0,89.0,897.0
TASK,1037994304.0,0.0763226366001734,0.09324,Technology,495.0,405.0,900.0
IDT,1279743744.0,0.0626702997275204,0.11725,Communication Services,658.0,244.0,902.0
GNTX,5263354880.0,0.0695473251028806,0.10192,Consumer Cyclical,570.0,332.0,902.0
UG,28781112.0,0.0691318327974276,0.10212,Consumer Defensive,575.0,328.0,903.0
MAS,14624049152.0,0.0562185478073328,0.15332,Industrials,771.0,132.0,903.0
INMD,952199040.0,0.1435472739820566,0.06998,Healthcare,215.0,690.0,905.0
TOL,14342754304.0,0.0918679823069071,0.08132,Consumer Cyclical,371.0,535.0,906.0
EAT,7387578368.0,0.0574870296380225,0.13927001,Consumer Cyclical,741.0,169.0,910.0
VAL,3828435712.0,0.1060318664643399,0.07631,Energy,307.0,609.0,916.0
ARCO,1643171840.0,0.1484771573604061,0.0687,Consumer Cyclical,209.0,709.0,918.0
RAY,9076245.0,0.375,0.06249,Consumer Defensive,96.0,827.0,923.0
RYAAY,35704705024.0,0.0756655092592592,0.091709994,Industrials,502.0,421.0,923.0
SFM,7921682944.0,0.0643391521197007,0.11021,Consumer Defensive,642.0,286.0,928.0
KEQU,106629488.0,0.1043708609271523,0.07598,Consumer Cyclical,316.0,612.5,928.5
MLI,13988828160.0,0.0537781350482315,0.16195999,Industrials,813.0,116.0,929.0
OGN,2191655936.0,0.2352216748768473,0.06401,Healthcare,138.0,792.0,930.0
FLXS,219812800.0,0.0970553592461719,0.07767,Consumer Cyclical,347.0,583.0,930.0
BAH,11746832384.0,0.0677896042161827,0.1012,Industrials,595.0,335.0,930.0
ADBE,131472302080.0,0.0509995421944147,0.18221001,Technology,855.0,81.0,936.0
CTMX,692990784.0,0.0691244239631336,0.09776,Healthcare,576.0,362.5,938.5
ALKS,4813175296.0,0.0678595543551654,0.09993,Healthcare,594.0,344.5,938.5
UGP,4264140288.0,0.1259445843828715,0.06992,Energy,248.0,691.0,939.0
SDHC,187837392.0,0.0651950718685831,0.10552,Real Estate,630.0,312.5,942.5
OII,2696586496.0,0.0871053632559908,0.08095,Energy,404.0,540.0,944.0
INVA,1458744448.0,0.0853909465020576,0.08162,Healthcare,419.0,529.0,948.0
ADMA,4223763968.0,0.0479643056330172,0.21761999,Healthcare,905.0,49.0,954.0
VC,2716586240.0,0.112150472741903,0.07117,Consumer Cyclical,285.0,674.0,959.0
DAVE,2859084288.0,0.0469583778014941,0.25359,Technology,931.0,29.5,960.5
INCY,20305657856.0,0.0554876328411549,0.13537,Healthcare,781.0,181.0,962.0
CLX,13278783488.0,0.0595438399700878,0.114630006,Consumer Defensive,707.0,257.0,964.0
KMB,32767809536.0,0.0601404294291238,0.11332,Consumer Defensive,698.0,268.0,966.0
WES,17201098752.0,0.0816819719671338,0.08225001,Energy,449.0,518.0,967.0
VALE,60232482816.0,0.0942446043165467,0.075840004,Basic Materials,358.0,615.0,973.0
NCI,4937760.0,0.2276422764227642,0.0619,Consumer Cyclical,141.0,836.0,977.0
IDCC,8103489024.0,0.048107432454088,0.18348,Technology,903.0,78.0,981.0
CRUS,6343117312.0,0.0578206078576723,0.11724,Technology,737.0,245.0,982.0
OPXS,104684736.0,0.0496644295302013,0.16042,Industrials,871.0,118.0,989.0
UTHR,21566595072.0,0.054665312299177,0.13141,Healthcare,796.0,194.0,990.0
SBH,1555558528.0,0.1203055378739656,0.067490004,Consumer Cyclical,263.0,730.0,993.0
IPAR,2814962432.0,0.0574468085106383,0.11609,Consumer Defensive,743.0,251.0,994.0
KFRC,621578560.0,0.0657933042212518,0.09593,Industrials,620.0,381.0,1001.0
DLNG,136068720.0,0.3430851063829787,0.05836,Energy,102.0,902.0,1004.0
KGEI,125835240.0,0.1428571428571428,0.06418,Energy,218.0,788.0,1006.0
AU,49307394048.0,0.0472098560927632,0.18155001,Basic Materials,925.0,82.0,1007.0
ALV,9844380672.0,0.0760141788105553,0.08267,Consumer Cyclical,497.0,512.0,1009.0
AOS,9888945152.0,0.0522461625123222,0.13878,Industrials,839.0,171.0,1010.0
GTEC,17916054.0,0.8727272727272726,0.05631,Consumer Cyclical,73.0,942.5,1015.5
BOSC,30558840.0,0.1058091286307053,0.068730004,Technology,309.0,708.0,1017.0
HCA,112157769728.0,0.054562320796087,0.12198,Healthcare,798.0,224.0,1022.0
TIGO,8521334784.0,0.1269717624148003,0.0647,Communication Services,246.0,777.0,1023.0
DRD,2949618176.0,0.0477053140096618,0.16465999,Basic Materials,916.0,108.0,1024.0
JL,23494838.0,0.1090092978518756,0.06748,Consumer Cyclical,295.0,731.0,1026.0
DFH,1851131904.0,0.142641888498242,0.06294,Consumer Cyclical,220.0,811.0,1031.0
MATX,4151328000.0,0.0989792060491493,0.06934,Industrials,338.0,699.0,1037.0
EXP,7718390272.0,0.0565268065268065,0.11201,Basic Materials,764.0,275.0,1039.0
SFD,9135939584.0,0.0975824175824175,0.0694,Consumer Defensive,343.0,698.0,1041.0
PAGS,2956658944.0,0.1294343240651965,0.06331,Technology,236.0,806.0,1042.0
CIX,289591872.0,0.0686488850021862,0.086940005,Industrials,583.0,462.0,1045.0
GILD,151080648704.0,0.0527732463295269,0.12571,Healthcare,831.0,214.0,1045.0
EC,24328052736.0,0.1191756272401433,0.0646,Energy,266.0,779.0,1045.0
LTM,17887182848.0,0.0725918225918226,0.08264,Industrials,532.0,513.5,1045.5
CMRE,1965374976.0,0.1520290732889158,0.06147,Industrials,199.0,849.0,1048.0
BHP,164381507584.0,0.0565286624203821,0.11022,Basic Materials,763.0,285.0,1048.0
BDTX,156681008.0,0.1401515151515151,0.062589996,Healthcare,224.0,824.0,1048.0
BRIA,46375000.0,0.0660465628267928,0.09017,Consumer Cyclical,617.0,433.0,1050.0
COP,120472977408.0,0.0741361256544502,0.080979995,Energy,512.0,538.0,1050.0
NEM,125915283456.0,0.0577195467422096,0.10552,Basic Materials,740.0,312.5,1052.5
ZTS,55229526016.0,0.0473986594318544,0.15089,Healthcare,920.0,137.0,1057.0
VIPS,9159940096.0,0.1029094827586206,0.06686,Consumer Cyclical,319.0,739.5,1058.5
FOX,31325110272.0,0.0666666666666666,0.087299995,Communication Services,604.5,457.5,1062.0
NTES,91921424384.0,0.0554945808752915,0.1106,Communication Services,780.0,284.0,1064.0
LII,18650992640.0,0.0444069385841537,0.19301,Industrials,998.0,66.5,1064.5
WILC,406005312.0,0.0754782608695652,0.07913,Consumer Defensive,503.0,562.0,1065.0
DHI,46977941504.0,0.0724438043954667,0.08158,Consumer Cyclical,534.0,531.0,1065.0
VNT,5664087040.0,0.0701935483870967,0.08327,Technology,562.0,505.0,1067.0
AUNA,349341184.0,0.2045929018789144,0.058130004,Healthcare,159.0,908.0,1067.0
AZZ,3662155008.0,0.0876687520579519,0.071339995,Industrials,400.0,668.0,1068.0
DORM,3854407680.0,0.0634231103388357,0.09169,Consumer Cyclical,650.0,422.0,1072.0
SD,534322496.0,0.1281317108088761,0.062119998,Energy,242.0,831.0,1073.0
G,8107044352.0,0.0657755145342669,0.08776,Technology,621.0,454.0,1075.0
UPWK,2685283072.0,0.0852941176470588,0.072620004,Communication Services,420.0,656.0,1076.0
NVS,271720153088.0,0.0515442109716542,0.12129,Healthcare,850.0,227.0,1077.0
MPLX,55814242304.0,0.087667161961367,0.07074,Energy,401.0,677.5,1078.5
WFRD,6305676288.0,0.0655966503838101,0.087,Energy,624.0,459.0,1083.0
DVA,7469604864.0,0.0880108991825613,0.07007,Healthcare,395.0,688.5,1083.5
CHA,2255035392.0,0.046899841017488,0.1434,Consumer Cyclical,932.0,156.0,1088.0
TII,268436160.0,0.047945205479452,0.13385999,Basic Materials,907.0,184.0,1091.0
SNY,114355191808.0,0.0642857142857142,0.08835,Healthcare,643.0,450.0,1093.0
GRVY,436946848.0,0.1238310222508868,0.06164,Communication Services,254.0,842.0,1096.0
WSM,24840738816.0,0.0439736255211868,0.17867,Consumer Cyclical,1009.0,87.0,1096.0
GIC,1202551808.0,0.0563607085346215,0.10195,Industrials,768.5,331.0,1099.5
NRDS,993321344.0,0.0715372907153729,0.079450004,Communication Services,544.0,557.0,1101.0
CIVI,2249713408.0,0.2667440960123887,0.05467,Energy,118.0,984.0,1102.0
THC,17598636032.0,0.0736436050298081,0.07752,Healthcare,519.0,585.0,1104.0
LHSW,39972400.0,0.0738916256157635,0.077199996,Technology,515.0,589.0,1104.0
GFI,44593889280.0,0.0430572723526988,0.19163,Basic Materials,1036.5,68.0,1104.5
TS,21061648384.0,0.095049504950495,0.06634,Energy,356.0,750.5,1106.5
TNL,4866455552.0,0.0814874479795945,0.07239,Consumer Cyclical,452.0,659.0,1111.0
DPZ,13949950976.0,0.0410866690708017,0.33951,Consumer Cyclical,1094.0,18.0,1112.0
NICE,7166359552.0,0.0754652259668982,0.0762,Technology,504.0,610.0,1114.0
GIL,11669085184.0,0.0499277572644084,0.117019996,Consumer Cyclical,868.0,247.0,1115.0
URBN,6562299904.0,0.0738255033557047,0.07642,Consumer Cyclical,516.0,606.5,1122.5
DDS,10932666368.0,0.0541073610150281,0.10384,Consumer Cyclical,807.0,321.0,1128.0
GCT,1572181632.0,0.0745327628912407,0.07533,Technology,509.0,621.0,1130.0
KARO,1421400704.0,0.0423417584791531,0.19098,Technology,1063.0,70.0,1133.0
TRMD,2415184640.0,0.1215494211932324,0.05985,Energy,261.0,876.0,1137.0
PARR,1895896064.0,0.1257452574525745,0.0589,Energy,249.0,889.0,1138.0
TTI,1397653120.0,0.0883765609990393,0.066479996,Industrials,393.0,745.0,1138.0
MD,1930656512.0,0.0842894969108561,0.06855,Healthcare,423.0,715.5,1138.5
CPAC,906730304.0,0.0708133971291866,0.07718,Basic Materials,552.0,590.0,1142.0
NVEC,308175904.0,0.0446358653093187,0.14378999,Technology,988.0,155.0,1143.0
INFY,70878502912.0,0.0443820224719101,0.14859,Technology,999.0,145.0,1144.0
CHTR,27029991424.0,0.1744810567571491,0.05546,Communication Services,179.0,966.0,1145.0
OFLX,322412640.0,0.0495172843350981,0.11319,Industrials,877.0,269.0,1146.0
RIO,135827611648.0,0.0757722007722007,0.07299,Basic Materials,501.0,649.5,1150.5
LOPE,4897005568.0,0.0419655464558034,0.18337,Consumer Defensive,1072.0,79.0,1151.0
IMO,48856064000.0,0.0609729729729729,0.086569995,Energy,684.0,467.0,1151.0
CL,67049996288.0,0.0435737824972537,0.15337,Consumer Defensive,1023.0,131.0,1154.0
SGHC,5061432320.0,0.0404624277456647,0.23642,Consumer Cyclical,1119.0,35.0,1154.0
FOXA,32509927424.0,0.0601676581936181,0.087299995,Communication Services,697.0,457.5,1154.5
NTAP,21415059456.0,0.053629823413996,0.10062,Technology,818.0,339.0,1157.0
ROCK,1633709184.0,0.0800718132854578,0.06942,Industrials,460.0,697.0,1157.0
MCRI,1680422912.0,0.0475064488392089,0.11805,Consumer Cyclical,918.0,240.0,1158.0
MUSA,8379248640.0,0.0534294065665148,0.1008,Consumer Cyclical,821.0,337.0,1158.0
